TIME = 2019-04-07T19:00:44.000Z	 LON = -77.063865	 LAT = 38.851425	 ALT = 111.4	 SPEED = 1.5G (raw) -0.10,-0.28,0.92
TIME = 2019-04-07T19:00:45.000Z	 LON = -77.063835	 LAT = 38.851433333	 ALT = 111.0	 SPEED = 1.9G (raw) -0.08,-0.25,0.87
TIME = 2019-04-07T19:00:46.000Z	 LON = -77.063803333	 LAT = 38.851446667	 ALT = 110.5	 SPEED = 2.8G (raw) -0.08,-0.26,1.05
TIME = 2019-04-07T19:00:47.000Z	 LON = -77.063781667	 LAT = 38.85145	 ALT = 109.9	 SPEED = 2.6G (raw) -0.09,-0.19,1.00
TIME = 2019-04-07T19:00:48.000Z	 LON = -77.063761667	 LAT = 38.85145	 ALT = 109.4	 SPEED = 2.1G (raw) -0.11,-0.23,0.91
TIME = 2019-04-07T19:00:49.000Z	 LON = -77.063743333	 LAT = 38.851448333	 ALT = 108.7	 SPEED = 1.5G (raw) -0.16,-0.20,0.90
TIME = 2019-04-07T19:00:50.000Z	 LON = -77.063726667	 LAT = 38.851448333	 ALT = 108.1	 SPEED = 1.2G (raw) -0.17,-0.23,0.92
TIME = 2019-04-07T19:00:51.000Z	 LON = -77.063711667	 LAT = 38.851446667	 ALT = 107.5	 SPEED = 0.8G (raw) -0.21,-0.20,0.87
TIME = 2019-04-07T19:00:52.000Z	 LON = -77.063708333	 LAT = 38.851446667	 ALT = 107.0	 SPEED = 0.4G (raw) -0.27,-0.24,0.90
TIME = 2019-04-07T19:00:53.000Z	 LON = -77.0637	 LAT = 38.851441667	 ALT = 106.2	 SPEED = 0.8G (raw) -0.16,-0.23,0.95
TIME = 2019-04-07T19:00:54.000Z	 LON = -77.06369	 LAT = 38.851436667	 ALT = 105.6	 SPEED = 1.0G (raw) -0.36,-0.30,0.92
TIME = 2019-04-07T19:00:55.000Z	 LON = -77.063681667	 LAT = 38.851436667	 ALT = 105.2	 SPEED = 0.9G (raw) -0.35,-0.29,0.88
TIME = 2019-04-07T19:00:56.000Z	 LON = -77.063673333	 LAT = 38.851436667	 ALT = 104.7	 SPEED = 1.2G (raw) -0.44,-0.07,0.87
TIME = 2019-04-07T19:00:57.000Z	 LON = -77.063653333	 LAT = 38.85143	 ALT = 104.5	 SPEED = 1.6G (raw) -0.40,-0.28,0.85
TIME = 2019-04-07T19:00:58.000Z	 LON = -77.063633333	 LAT = 38.851416667	 ALT = 104.4	 SPEED = 2.1G (raw) -0.38,-0.19,0.74
TIME = 2019-04-07T19:00:59.000Z	 LON = -77.063616667	 LAT = 38.851393333	 ALT = 104.3	 SPEED = 2.7G (raw) -0.49,-0.15,0.74
TIME = 2019-04-07T19:01:00.000Z	 LON = -77.063601667	 LAT = 38.851366667	 ALT = 104.0	 SPEED = 3.0G (raw) -0.41,-0.23,0.88
TIME = 2019-04-07T19:01:01.000Z	 LON = -77.063598333	 LAT = 38.851341667	 ALT = 103.6	 SPEED = 2.9G (raw) -0.43,-0.21,0.76
TIME = 2019-04-07T19:01:02.000Z	 LON = -77.063591667	 LAT = 38.851301667	 ALT = 103.2	 SPEED = 3.6G (raw) -0.23,-0.43,0.95
